,y,v_t,a_t,a_t_lower,a_t_upper,a_t_lower_5,a_t_upper_5,F_t,P_t,K_t,P_tt,a_tt,a_t1,P_t1,L_t,R_t,a_hat_t,a_hat_t_lower,a_hat_t_upper,N_t,V_t,D_t,e_t,e_t_std,eta_t,eta_t_std,error,u_t,u_star,r_star
0,0.2955,0.2955,0.0,0.0,0.0,0.0,0.0,10000002.515588274,10000000.0,0.9999997484412358,2.5155876415272616,0.29549992566438515,0.0,0.0,0.0,1.4605163481045145,0.0,0.0,0.0,0.25091294029424344,0.0,0.25091291405553584,-3.6740567996745113,0.9632056346702258,0.7913554688892811,0.684228751383797,9.344529310448217e-05,-1.4605159511488341,-2.9157131623698027,2.9157138023831592
1,6.8435,6.548000074335614,0.29549992566438515,-2.580605688466274,3.171605539795043,-0.8838778167842858,1.474877668113056,5.5730085823720135,3.0574203090741308,0.5486121659214842,1.3800823311806383,3.887812428899686,0.29549992566438515,3.0574203090741308,0.4513878340785158,0.6326433006698239,4.760912270093911,3.3730499555450484,6.148774584642773,0.3508039499514,0.7119315719099872,0.28501961993614244,2.08258772990609,0.8437603758828612,0.34278680720758675,0.6624520495331564,2.773727675029952,0.8278730474346906,1.5506949245771722,1.0681363037582758
2,3.6246,-0.26321242889968577,3.887812428899686,1.6075000502692918,6.168124807530079,2.9527460488704653,4.822878808928906,4.43750327202539,1.9219149987275075,0.4331072859919935,1.0895196097213309,3.7738132081795825,3.887812428899686,1.9219149987275075,0.5668927140080064,1.2206167353537238,5.1036990773014965,3.802152727973385,6.405245426629607,0.39036947516439513,0.6261303609391566,0.2985782026321451,-1.4790990773014974,0.7912839951238467,0.6613700217690592,0.6536260143236795,-0.12495022706421438,-0.5879734346838998,-1.0760405924292828,1.9536258570008538
3,8.2749,4.501086791820418,3.7738132081795825,1.672933755405905,5.87469266095326,2.9123252106611237,4.635301205698042,4.146940550566083,1.6313522772682,0.3933869457196608,0.9895995875208496,5.544481993632924,3.7738132081795825,1.6313522772682,0.6066130542803392,0.22290541368377925,5.765069099070556,4.499003998592011,7.0311341995491,0.40553315501636034,0.5924579907313579,0.3038992186279223,2.509830900929445,0.7697129274809912,0.12077743490692054,0.6502116374253477,2.2103114961780186,0.9977113216699447,1.8098396926314015,0.3500317449871588
4,8.6431,3.0986180063670767,5.544481993632924,3.508958347715479,7.580005639550368,4.709793840865407,6.3791701464004404,4.047020528365602,1.531432255067719,0.3784098065067615,0.9519232717493301,6.717029433860656,5.544481993632924,1.531432255067719,0.6215901934932385,-0.8731616555142431,5.885846533977476,4.6327945684697385,7.138898499485213,0.4100628987980649,0.5803415302334418,0.30581390059785035,2.7572534660225245,0.7618015031708992,-0.4731075090069229,0.6491882002217172,1.540282341885651,1.0960670691980223,1.9820222188982342,-1.3635448169305546
5,2.7411,-3.975929433860656,6.717029433860656,4.70670070363294,8.727358164088372,5.892672724640048,7.541386143081264,4.009344212594082,1.4937559392961994,0.37256864466863165,0.9372293135268956,5.235722793389071,6.717029433860656,1.4937559392961994,0.6274313553313684,0.1888718470780119,5.412739024970554,4.161374207930048,6.664103842011059,0.4080715011679141,0.5787798022450814,0.30606068986619817,-2.671639024970554,0.7607757897337961,0.10233693672678357,0.6496383294417802,-1.9856467816376309,-1.0620335025922552,-1.919704755270453,0.2956644401957984
6,5.28,0.044277206610929376,5.235722793389071,3.2353062214982256,7.236139365279916,4.415430670275696,6.056014916502446,3.9946502543716482,1.479061981073765,0.3702606954025864,0.9314234634178656,5.252116902699318,5.235722793389071,1.479061981073765,0.6297393045974136,0.28231955638425565,5.515075961697336,4.255548877821356,6.774603045573317,0.3977508665843623,0.5863548310842189,0.3048636595005665,-0.23507596169733616,0.76573809562031,0.15296995833633,0.6519661940802678,0.022153422659111265,-0.09344770930624371,-0.16924499357035908,0.4476467086602886
7,6.4161,1.1639830973006822,5.252116902699318,3.2556303684753636,7.248603436923272,4.4334363333927795,6.070797472005856,3.9888444042626183,1.473256130964735,0.369344096097196,0.9291176769539128,5.682027187644253,5.252116902699318,1.473256130964735,0.630655903902804,-0.015047897545576089,5.668045920033666,4.383432731449527,6.952659108617805,0.3697303434538187,0.6099443872491993,0.3011359621358566,0.7480540799663333,0.7809893643636893,-0.008153442468091479,0.658244830870501,0.5828048079245938,0.29736745392983177,0.5418912307802395,-0.02474761086703117
8,6.4294,0.7473728123557475,5.682027187644253,3.687103611197404,7.676950764091101,4.863987525822353,6.500066849466153,3.986538617798665,1.470950344500782,0.3689793290684411,0.9282000732938912,5.95779230651127,5.682027187644253,1.470950344500782,0.6310206709315589,-0.32094355249137413,5.659892477565575,4.31255083224453,7.0072341228866195,0.29856861248522604,0.6709666800836385,0.2914930235999809,0.7695075224344252,0.8191255581921726,-0.17389770117836992,0.6739273745630832,0.37431678966065324,0.30589565494579807,0.5665773719289229,-0.5873629934744142
9,6.1402,0.18240769348872998,5.95779230651127,3.963491060639007,7.952093552383532,5.140007837970349,6.775576775052191,3.9856210141386437,1.4700327408407605,0.368834050108113,0.9278346112449328,6.0250704748715975,5.95779230651127,1.4700327408407605,0.631165949891887,-0.5810040840803317,5.485994776387205,3.9921388516985608,6.979850701075849,0.11965416337802057,0.8248270861624326,0.2671795084892318,0.6542052236127953,0.9081999153063343,-0.31480699273287166,0.7118316390978368,0.09136821738329083,0.26006053158895753,0.5031214955315387,-1.679636400482169
