,y,v_t,a_t,a_t_lower,a_t_upper,a_t_lower_5,a_t_upper_5,F_t,P_t,K_t,P_tt,a_tt,a_t1,P_t1,L_t,R_t,a_hat_t,a_hat_t_lower,a_hat_t_upper,N_t,V_t,D_t,e_t,e_t_std,eta_t,eta_t_std,error,u_t,u_star,r_star
0,1120,1120.0,0.0,0.0,0.0,0.0,0.0,10015099.0,10000000.0,0.9984923763609326,15076.236390674236,1118.3114615242446,0.0,0.0,0.0,-0.0004703563788970818,0.0,0.0,0.0,4.859678169957966e-05,0.0,4.8550210080506215e-05,8.77974243186916,63.48647704305225,-0.6910005562377028,36.93529155355839,0.3539080158610644,0.0005814784046538949,0.08345224674948264,-0.06747195338182982
1,1160,41.68853847575542,1118.3114615242446,906.7361166288732,1329.8868064196158,1031.5527377157223,1205.0701853327669,31644.336390674234,16545.336390674234,0.5228530055555294,7894.557530882937,1140.1084391635106,1118.3114615242446,16545.336390674234,0.4771469944444706,-0.0037467815056013054,1110.529257011893,1016.8728312200043,1204.1856828037814,7.465017729145276e-05,3242.056999245002,5.2008743532305306e-05,49.47074298810708,56.93906391261627,-5.504396709878877,36.16608764842237,0.23435200502819178,0.003276425126704224,0.4543202209773339,-0.4336535900578406
2,963,-177.10843916351064,1140.1084391635106,980.942543510354,1299.2743348166673,1074.8407682657642,1205.3761100612571,24462.657530882934,9363.657530882936,0.3827735199686202,5779.4973780061955,1072.3160184887454,1140.1084391635106,9363.657530882936,0.6172264800313798,0.005659461311937213,1105.024860302014,1017.7007424977126,1192.3489781063156,8.864654641019452e-05,2818.4731384582674,5.3866732086241864e-05,-142.02486030201408,53.08929400979321,8.314314613366959,35.74602306299695,-1.1323676089308734,-0.009406242817538518,-1.2816099517750665,0.6010964805485017
3,1210,137.68398151125461,1072.3160184887454,932.2753273042263,1212.3567096732645,1014.8908413990398,1129.741195578451,22347.597378006198,7248.597378006196,0.3243568986588257,4897.464812849611,1116.974767726735,1072.3160184887454,7248.597378006196,0.6756431013411743,-0.0007423417932100819,1113.339174915381,1029.6144125556877,1197.063937275074,9.616565645545766e-05,2590.916003058911,5.486487812550151e-05,96.66082508461902,50.9010412767648,-1.0905743284049312,35.518305272045296,0.9210177437899575,0.0064018031051472956,0.8642812738854425,-0.07569965694336198
4,1160,43.02523227326492,1116.974767726735,985.7306526035057,1248.2188828499643,1063.156720349329,1170.7928151041413,21465.56481284961,6366.5648128496105,0.29659432995858037,4478.277788044606,1129.7358076641365,1116.974767726735,6366.5648128496105,0.7034056700414196,-0.0039048955658456145,1112.2486005869762,1030.52290849899,1193.974292674962,0.00010020506234659493,2468.6680737469114,5.540110075915492e-05,47.751399413023904,49.68569284760868,-5.736682075783792,35.39536611202251,0.29366491512810466,0.0031625537726355326,0.4248921638744181,-0.3900897977717376
5,1160,30.264192335863527,1129.7358076641365,1002.8859395385584,1256.5856757897145,1077.7196680742572,1181.7519472540157,21046.377788044607,5947.377788044605,0.28258438805669506,4266.74167526804,1138.2879959353966,1129.7358076641365,5947.377788044605,0.7174156119433049,-0.007447387220180842,1106.5119185111923,1025.8806264708758,1187.143210551509,0.00010237510638839395,2402.9942103681847,5.568916954020771e-05,53.488081488807595,49.02034486178352,-10.940956565167674,35.32914426097789,0.20861253830733575,0.003542491654335227,0.4747046271538248,-0.7360490425972491
6,813,-325.28799593539657,1138.2879959353966,1013.7144477871275,1262.8615440836656,1087.2052855988588,1189.3707062719343,20834.841675268042,5735.8416752680405,0.27530046854528106,4156.761774565199,1048.7360582422264,1138.2879959353966,5735.8416752680405,0.7246995314547189,0.011267160892013652,1095.5709619460247,1015.5337807306627,1175.6081431613868,0.0001035408944449197,2367.712988384621,5.584392545204204e-05,-282.5709619460247,48.65915112683965,16.552586066457255,35.29351734430205,-2.253579765633286,-0.018714548112194494,-2.5043289595047384,1.1072827641825305
7,1230,181.26394175777364,1048.7360582422264,925.3625866293205,1172.1095298551322,998.145452071853,1099.3266644125997,20724.8617745652,5625.861774565199,0.2714547308329745,4098.694980847083,1097.9410127618069,1048.7360582422264,5625.861774565199,0.7285452691670256,0.003460256329624217,1112.123548012482,1032.4073624613434,1191.8397335636205,0.00010416717749105149,2348.759259144188,5.592706320879633e-05,117.87645198751807,48.463999619760955,5.0834625738509365,35.27436304365841,1.2591155821570574,0.007806904562389434,1.0439215499212766,0.3390336641776405
8,1370,272.05898723819314,1097.9410127618069,975.2058863139308,1220.6761392096828,1047.6121668258063,1148.2698586978074,20666.79498084708,5567.794980847082,0.2694077618714962,4067.7877964977197,1171.2358156106743,1097.9410127618069,5567.794980847082,0.7305922381285038,-0.013282110013422815,1117.207010586333,1037.6638047543838,1196.750216418282,0.00010450362840224114,2338.5769629559504,5.597172635940695e-05,252.7929894136671,48.35883541769745,-19.512747820719454,35.264068700852015,1.8924591399576878,0.01674236634304703,2.2378578140539434,-1.299275916263554
9,1140,-31.235815610674308,1171.2358156106743,1048.8418184789718,1293.6298127423768,1121.0468533843732,1221.4247778369754,20635.887796497722,5536.88779649772,0.26831352501526146,4051.2659142054326,1162.8548238174476,1171.2358156106743,5536.88779649772,0.7316864749847385,-0.01608400002166089,1097.6942627656133,1018.2441403667445,1177.144385164482,0.00010468437609506075,2333.106843891264,5.599572023535864e-05,42.305737234386655,48.3022447086185,-23.62900443182201,35.25853714720714,-0.21744091732027743,0.002801890008238072,0.3744326098131317,-1.572002131210048
