,y,v_t,a_t,a_t_lower,a_t_upper,a_t_lower_5,a_t_upper_5,F_t,P_t,K_t,P_tt,a_tt,a_t1,P_t1,L_t,R_t,a_hat_t,a_hat_t_lower,a_hat_t_upper,N_t,V_t,D_t,e_t,e_t_std,eta_t,eta_t_std,error,u_t,u_star,r_star
0,2058.9,2058.9,0.0,0.0,0.0,0.0,0.0,10000000.000001151,10000000.0,0.9999999999998849,1.1513012765362873e-06,2058.899999999763,0.0,0.0,0.0,-0.007216444529560083,0.0,0.0,0.0,0.0014652679088891208,0.0,0.0014653679088887834,8.541206358475354e-09,0.0010727273286411359,-4.925000036811889,0.001517249231923468,0.6510813474520302,0.007422334529559228,0.19389525724819562,-0.18852318078586025
1,2053.9750000000004,-4.924999999762804,2058.899999999763,2015.9296652111548,2101.8703347883716,2041.2795565131735,2076.520443486353,682.4690515184631,682.4690503677191,0.9999999983138518,1.150743975197363e-06,2053.9750000083045,2058.899999999763,682.4690503677191,1.68614822104729e-09,-0.04663215125361547,2053.974999954643,2053.973235475169,2053.976764434117,0.0014652679088903173,1.1507439694469213e-06,0.0029305358128381203,4.535738500529346e-08,0.001072727327736809,-31.82499992897114,0.0015170655684227502,-0.18852317873175503,0.03941570672405539,0.7281079974805537,-1.2182233848267738
2,2022.15,-31.825000008304414,2053.9750000083045,2011.0046652197136,2096.9453347968956,2036.354556521722,2071.595443494887,682.4690515179058,682.4690503671618,0.9999999983138518,1.1507439751964231e-06,2022.1500000536619,2053.9750000083045,682.4690503671618,1.68614822104729e-09,-0.024323447304293637,2022.1500000256717,2022.1482355461978,2022.1517645051456,0.0014652679088903173,1.1507439694469213e-06,0.002930535812839317,-2.5671605512047338e-08,0.001072727327736809,-16.59999995542692,0.0015170655684227502,-1.2182233837553476,-0.022308703949321843,-0.41209830062518565,-0.635428379543071
3,2005.55,-16.600000053661915,2022.1500000536619,1979.179665265071,2065.1203348422528,2004.5295565670795,2039.7704435402443,682.4690515179058,682.4690503671618,0.9999999983138518,1.1507439751964231e-06,2005.55000002799,2022.1500000536619,682.4690503671618,1.68614822104729e-09,0.03671961383691463,2005.550000070245,2005.5482355907711,2005.5517645497189,0.0014652679088903173,1.1507439694469213e-06,0.002930535812839317,-7.024493168338101e-08,0.001072727327736809,25.05999994287315,0.0015170655684227502,-0.6354283811605376,-0.06104306114120828,-1.1276200454493879,0.9592671805907728
4,2030.61,25.05999997200979,2005.55000002799,1962.5796652393992,2048.520334816581,1987.9295565414077,2023.1704435145725,682.4690515179058,682.4690503671618,0.9999999983138518,1.1507439751964231e-06,2030.609999957745,2005.55000002799,682.4690503671618,1.68614822104729e-09,0.048119398147080834,2030.6100000131182,2030.6082355336443,2030.611764492592,0.0014652679088903173,1.1507439694469213e-06,0.002930535812839317,-1.3118232524750038e-08,0.001072727327736809,32.83999990230451,0.0015170655684227502,0.9592671784711557,-0.011399784310166201,-0.21058290756760678,1.257076384225767
5,2063.45,32.840000042254815,2030.609999957745,1987.6396651691541,2073.580334746336,2012.9895564711626,2048.2304434443276,682.4690515179058,682.4690503671618,0.9999999983138518,1.1507439751964231e-06,2063.4499999446266,2030.609999957745,682.4690503671618,1.68614822104729e-09,-0.025378440136791355,2063.4499999154227,2063.448235435949,2063.4517643948966,0.0014652679088903173,1.1507439694469213e-06,0.002930535812839317,8.457719079952081e-08,0.001072727327736809,-17.319999910751772,0.0015170655684227502,1.2570763853436648,0.07349783828387219,1.3576913443835077,-0.6629891268991928
6,2046.13,-17.31999994462649,2063.4499999446266,2020.4796651560357,2106.4203347332177,2045.8295564580442,2081.0704434312092,682.4690515179058,682.4690503671618,0.9999999983138518,1.1507439751964231e-06,2046.1300000292042,2063.4499999446266,682.4690503671618,1.68614822104729e-09,-0.021319648149709502,2046.1300000046708,2046.128235525197,2046.1317644841447,0.0014652679088903173,1.1507439694469213e-06,0.002930535812839317,-4.670630216104127e-09,0.001072727327736809,-14.550000002360806,0.0015170655684227502,-0.662989125960081,-0.004058791987081853,-0.07497617451319477,-0.5569568041371737
7,2031.58,-14.550000029204284,2046.1300000292042,2003.1596652406133,2089.100334817795,2028.5095565426218,2063.7504435157866,682.4690515179058,682.4690503671618,0.9999999983138518,1.1507439751964231e-06,2031.5800000245333,2046.1300000292042,682.4690503671618,1.68614822104729e-09,-0.019312231086610697,2031.58000000231,2031.5782355228362,2031.581764481784,0.0014652679088903173,1.1507439694469213e-06,0.002930535812839317,-2.310022987399576e-09,0.001072727327736809,-13.17999998792695,0.0015170655684227502,-0.556956803286487,-0.002007417063098805,-0.037082080708420805,-0.5045148227225238
8,2018.4,-13.180000024533228,2031.5800000245333,1988.6096652359424,2074.550334813124,2013.959556537951,2049.2004435111157,682.4690515179058,682.4690503671618,0.9999999983138518,1.1507439751964231e-06,2018.4000000222236,2031.5800000245333,682.4690503671618,1.68614822104729e-09,-0.006813495862022661,2018.4000000143828,2018.398235534909,2018.4017644938567,0.0014652679088903173,1.1507439694469213e-06,0.002930535812839317,-1.438284361180508e-08,0.001072727327736809,-4.650000042794603,0.0015170655684227502,-0.5045148224223953,-0.012498735224588036,-0.2308833161136397,-0.17799650602421913
9,2013.75,-4.650000022223594,2018.4000000222236,1975.4296652336327,2061.3703348108147,2000.7795565356412,2036.020443508806,682.4690515179058,682.4690503671618,0.9999999983138518,1.1507439751964231e-06,2013.7500000078405,2018.4000000222236,682.4690503671618,1.68614822104729e-09,-0.03150325998219181,2013.7499999715883,2013.7482354921144,2013.7517644510622,0.0014652679088903173,1.1507439694469213e-06,0.002930535812839317,2.8411596035266333e-08,0.001072727327736809,-21.49999988726407,0.0015170655684227502,-0.17799650463652825,0.02468976412016915,0.45608251648647136,-0.8229945858568566
