Date,Symbol,bv,close_time,close_price,open_price,rv10,rk_twoscale,rk_th2,nobs,rv5,rk_parzen,rv5_ss,open_time,rv10_ss,open_to_close,bv_ss,rsv_ss,rsv,medrv
2015-01-02 00:00:00+00:00,.SPX,6.849415915266708e-05,150000.0,2058.14,2058.9,9.337030792944454e-05,4.6360043274068814e-05,4.443280227256702e-05,19944.0,8.393689872199112e-05,7.943731148346431e-05,8.393689872199112e-05,83001.0,9.337030792944454e-05,-0.00036919729156537073,6.849415915266708e-05,3.530735208928252e-05,3.530735208928252e-05,3.323542948833076e-05
2015-01-05 00:00:00+00:00,.SPX,6.655362756019715e-05,150002.0,2021.07,2053.9750000000004,7.557303022737387e-05,5.594651121892704e-05,5.44627645071178e-05,20096.0,7.000254995995878e-05,8.336400870199447e-05,7.000254995995878e-05,83002.0,7.557303022737388e-05,-0.016149865919048878,6.655362756019715e-05,5.217263569182794e-05,5.217263569182794e-05,2.7475693868136508e-05
2015-01-06 00:00:00+00:00,.SPX,0.00011604213480822888,150001.0,2002.2,2022.15,0.00013161363346633583,7.927071967228218e-05,8.006945786682374e-05,19918.0,0.00011099260036663599,0.00012987050081201542,0.000110992600366636,83001.0,0.00013161363346633583,-0.00991472581979913,0.00011604213480822888,6.451953616917912e-05,6.451953616917912e-05,0.00010708110837084378
2015-01-07 00:00:00+00:00,.SPX,5.544872191837535e-05,150002.0,2025.76,2005.55,8.500931026843242e-05,6.439186096147361e-05,6.305542271218937e-05,19492.0,8.179144119369233e-05,8.086797949588383e-05,8.179144119369233e-05,83002.0,8.500931026843242e-05,0.010026601434074855,5.544872191837535e-05,2.281149178790805e-05,2.2811491787908047e-05,3.691796041931439e-05
2015-01-08 00:00:00+00:00,.SPX,2.6281900220527166e-05,150001.0,2061.9449999999997,2030.61,8.159514822276657e-05,2.3851601310862823e-05,2.249017383210049e-05,20216.0,7.158324341611025e-05,8.980479479507365e-05,7.158324341611025e-05,83002.0,8.159514822276659e-05,0.01531347158048213,2.6281900220527162e-05,6.360833639807618e-06,6.360833639807618e-06,1.3239146515776165e-05
2015-01-09 00:00:00+00:00,.SPX,4.939983739807529e-05,150001.0,2045.11,2063.45,5.724403027203043e-05,5.365793464223115e-05,5.121429998412387e-05,20510.0,6.252698796162382e-05,7.04970280588173e-05,6.252698796162382e-05,83001.0,5.724403027203045e-05,-0.008927761461695383,4.9399837398075286e-05,4.3354426423065314e-05,4.335442642306531e-05,4.0173544345290065e-05
2015-01-12 00:00:00+00:00,.SPX,6.072051207592828e-05,150001.0,2028.59,2046.13,7.726083791258349e-05,5.4434096318797225e-05,5.278400649246982e-05,18902.0,6.71807652791036e-05,9.837975678017111e-05,6.71807652791036e-05,83001.0,7.72608379125835e-05,-0.008609233683294804,6.0720512075928286e-05,4.3979619858946486e-05,4.397961985894648e-05,3.604660451054488e-05
2015-01-13 00:00:00+00:00,.SPX,0.00011818235594681601,150001.0,2023.03,2031.58,0.00022195992459679708,8.195482078933935e-05,7.86967749081944e-05,19453.0,0.0002188883030890081,0.00023032654705736343,0.00021888830308900814,83001.0,0.00022195992459679705,-0.004217427902076132,0.00011818235594681601,8.000285255059098e-05,8.000285255059098e-05,3.663890780384073e-05
2015-01-14 00:00:00+00:00,.SPX,9.920562043269331e-05,150001.0,2011.13,2018.4,0.00016241091742197952,0.00010735405966965522,0.00010074796050160763,17993.0,0.00014706200472259755,0.00013227338864692765,0.00014706200472259755,83002.0,0.00016241091742197952,-0.0036083651880636225,9.92056204326933e-05,8.567284953775834e-05,8.567284953775833e-05,6.0549336973405274e-05
2015-01-15 00:00:00+00:00,.SPX,9.790051861349908e-05,150001.0,1992.76,2013.75,8.73783845207104e-05,0.00010879766036206781,0.00010343917004458153,19294.0,0.00010331768262945412,0.00011303877618079056,0.00010331768262945413,83001.0,8.73783845207104e-05,-0.010478043004799709,9.790051861349908e-05,5.780588071886929e-05,5.780588071886929e-05,7.038597323913067e-05
2015-01-16 00:00:00+00:00,.SPX,6.305996843182537e-05,150001.0,2018.98,1992.25,6.911740402892953e-05,6.411685842339166e-05,6.200396901975431e-05,17454.0,6.435800111118137e-05,7.466721793000234e-05,6.435800111118137e-05,83002.0,6.911740402892952e-05,0.013327780091909602,6.305996843182537e-05,1.7997964571168175e-05,1.7997964571168175e-05,2.9336833149512744e-05
2015-01-20 00:00:00+00:00,.SPX,7.435745928597661e-05,150001.0,2022.45,2020.76,6.996488424702754e-05,6.0567641314914034e-05,5.9636479060448005e-05,17565.0,8.369506291613243e-05,6.0178841997268355e-05,8.369506291613243e-05,83001.0,6.996488424702754e-05,0.0008359694888069313,7.435745928597661e-05,4.054228941691198e-05,4.054228941691198e-05,2.842174316936211e-05
2015-01-21 00:00:00+00:00,.SPX,9.21846838063256e-05,150001.0,2032.42,2020.19,6.65010332263546e-05,6.759904623764358e-05,6.592260001506282e-05,19955.0,0.00010013869558479003,4.8681716906428594e-05,0.00010013869558479004,83002.0,6.65010332263546e-05,0.006035634875838802,9.21846838063256e-05,3.45503607404892e-05,3.45503607404892e-05,2.276138321972656e-05
2015-01-22 00:00:00+00:00,.SPX,6.326105150661573e-05,150000.0,2063.37,2034.3,7.102752009453348e-05,6.6020423351472e-05,6.246301967491114e-05,17247.0,6.104666075791229e-05,7.30637125443378e-05,6.104666075791229e-05,83001.0,7.102752009453349e-05,0.014188789092469456,6.326105150661573e-05,2.1126710994255303e-05,2.11267109942553e-05,3.012615196258885e-05
2015-01-23 00:00:00+00:00,.SPX,2.5218008699289903e-05,150001.0,2051.75,2062.98,2.707424129510414e-05,3.0462055807792473e-05,3.11671276913146e-05,21035.0,2.490976373588993e-05,2.2048301454969544e-05,2.4909763735889935e-05,83001.0,2.7074241295104135e-05,-0.005458451894951644,2.5218008699289903e-05,1.4844711360657154e-05,1.4844711360657154e-05,1.483346031149574e-05
2015-01-26 00:00:00+00:00,.SPX,2.0218606948325392e-05,150000.0,2056.83,2050.42,3.4320642167773875e-05,2.558371491190872e-05,2.461423441087695e-05,19430.0,3.0057934203207617e-05,2.8967085047234696e-05,3.005793420320762e-05,83001.0,3.4320642167773875e-05,0.0031213124130093917,2.0218606948325392e-05,1.3753044869191921e-05,1.3753044869191921e-05,1.1158654017245104e-05
2015-01-27 00:00:00+00:00,.SPX,5.122877474722099e-05,150000.0,2029.77,2047.86,8.914050295500687e-05,6.950451705172362e-05,6.540109899520704e-05,20061.0,0.00010259801776560126,0.00010494379857922784,0.00010259801776560127,83001.0,8.914050295500688e-05,-0.008872859323552973,5.122877474722099e-05,8.199192146422622e-05,8.199192146422622e-05,2.6012504116137795e-05
2015-01-28 00:00:00+00:00,.SPX,8.679263397460225e-05,150001.0,2002.52,2032.34,8.69105479652315e-05,8.218141620712709e-05,8.19240966785993e-05,20491.0,9.283647280670598e-05,0.00011230718919503309,9.2836472806706e-05,83001.0,8.69105479652315e-05,-0.014781451127869438,8.679263397460225e-05,5.824253394983175e-05,5.8242533949831746e-05,4.4114444333168544e-05
